Title,Location,Company,Salary,Description,Time
Online Tutor - Women Candidates Only,"Pune, Maharashtra","₹30,000 - ₹50,000 a month","₹30,000 - ₹50,000 a month","WhiteHat Jr was created to solve the #1 gap in the global school system today.
Today, in the computer age, less than 1% of schools teach coding in early childhood. Result, a major gap in the requirements of the new world and our children’s skills.
WhiteHat Jr prepares kids 6-14 for this new world. Kids learn fundamentals of coding--logic, structure, sequence and algorithmic thinking--to generate creative outcomes eg animations and apps
Minimal Coding Experience Required.
Job description :
Love Working with Kids? You've found your dream job.
Earn more than Rs 30,000 per month immediately.
Teach Online: Flexible Work Hours & Location.
Get Early Childhood Coding Expert Certification
You'll teach students aged 6-14 coding (logic, sequence, structure) to generate creative outcomes like websites, animations and apps.
All classes are taught live 1:1 online. Choose your own location and timing but please be available 4-8 p.m. daily and on weekends to maximize your earnings.
Responsibilities and Duties
Minimal coding experience is required
WhiteHat Jr provides curriculum and digital platform and trains you free as a Certified Early Childhood Coding Expert
Pre-Requisites Passion for Teaching Kids aged 6-14. High Speed Internet (Min. 2 MBPS)Modern Laptop/PC with Microphone and Camera
Fluency in English is a must
Get Certification from Discovery and Google Alumni
Required Experience, Skills and Qualifications
College Degree in Computer, Math, Science Fields preferred. Freshers can also apply.
Teacher, Work from Home, Online Tutor, Teaching, Home Tutor, coding teacher, computer teacher, home teacher, kids teacher
Benefits
Degrees: B.tech, M.tech, BCA, MCA, BE, ME
Coding Experience will be good to have
Job Types: Commission, Volunteer
Salary: ₹30,000.00 to ₹50,000.00 /month",2020-04-19
Social Media Executive,"Pune, Maharashtra",,,"We are looking for a driven Social Media Specialist to attract and interact with targeted virtual communities and networks users.
Social media specialists should have a solid understanding of how each social media channel works and how to optimize content so that it is engaging on those channels. You are responsible for joining relevant conversations on behalf of the brand and “soft selling” the product by providing support to current and prospective customers.
Responsibilities
Build and execute social media strategy through competitive research, platform determination, benchmarking, messaging and audience identification
Generate, edit, publish and share daily content (original text, images, video or HTML) that builds meaningful connections and encourages community members to take action
Set up and optimize company pages within each platform to increase the visibility of company’s social content
Moderate all user-generated content in line with the moderation policy for each community
Create editorial calendars and syndication schedules
Continuously improve by capturing and analyzing the appropriate social data/metrics, insights and best practices, and then acting on the information
Collaborate with other departments (customer relations, sales etc) to manage reputation, identify key players and coordinate actions
Engage, build strategies, increase followers and reach
Liaison with influencers for deals and ensure KPIs are met
Requirements
Proven working experience in the social media marketing or as a digital media specialist
Excellent consulting, writing, editing (photo/video/text), presentation and communication skills
Demonstrable social networking experience and social analytics tools knowledge
Adequate knowledge of all social media platforms
Knowledge of online marketing and a good understanding of major marketing channels
Positive attitude, detail and customer-oriented with good multitasking and organizational ability
Fluency in English
Degree in Communications, Marketing, Business, New Media or Public Relations
Job Type: Full-time
Experience:
Social Media Executive: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Pune, Maharashtra (Preferred)",2020-06-05
MBA Fresher,"Pune, Maharashtra","₹15,000 a month","₹15,000 a month","Job Summary
Looking for MBA Freshers from any stream for corporate Sales & Marketing. Candidate Will be responsible for planning Development for the organization and will support in Advertising & Sales Promotion. Branding of the Product
Qualifications and Skills
Marketing Sales, Promotion,Advertising, corporate marketing,Event Management,promotions, branding, Production Planning,Budgeting,forecasting Business,Communication
Job Type: Full-time
Salary: ₹15,000.00 /month
Experience:
work: 1 year (Preferred)
Education:
Diploma (Preferred)",2020-06-08
SSC Board Teacher(Marathi Medium),"Swargate, Pune, Maharashtra","₹30,000 - ₹40,000 a month","₹30,000 - ₹40,000 a month","For Online Class :
Answer student questions related to the course content
Resolve technical or connectivity issues
Reply to student messages
Respond to messages from peers and administrators
Grade student assignments and tests
Assess student progress
Suggest a program or curriculum improvements to school administrators
Maintain required records
For Notes and Content Writing:
Looking for a subject expert for content creation SSC Board
Creating Content as MCQ, Notes and Assignment
Proper Content editing is must
Writing understanding chapter wise description
Summarisation of content
Proofreading of Created content before delivery is must
Quality check as per your subject expert
Job Type: Full-time
Salary: ₹30,000.00 to ₹40,000.00 /month
Experience:
teaching: 1 year (Preferred)
Making lesson plans: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Language:
English (Preferred)
Work Remotely:
Temporarily due to COVID-19",2020-06-02
opening is for the position of store incharge,"Pune, Maharashtra","₹10,000 - ₹50,000 a month","₹10,000 - ₹50,000 a month","Dear Candidates,
An opening is for the position of STORE INCHARGE.
Experience: - 6 months to 5 years
Job Responsibilities: -
below Role and Responsibilities
1. Invoicing
2. E-way Bills
3. Vendor GRN
4. Vendor PO
5. Vendor Returnable Delivery challan
6. Advance for transport and clear to accounts DPT.
7. Consumable stock and finish goods stock.
8. Manual returnable challan
9. Manual Delivery challan
10. Marin file update and sent to account.
11. Dispatch mail sent to the customer .
12. Calling our transporter and arrange a vehicle.
Interested candidate contact on given mobile number time for call: - (10 am to 5 pm)or send resume on given Email ID.
Regards,
Samiksha Nikose
HUMAN RESOURCE DEPARTMENT
7499995030
Job Type: Full-time
Salary: ₹10,000.00 to ₹50,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",2020-06-09
"Store Executive,store Officer,store Incharge ,store Assistan...","Pune, Maharashtra","₹1,50,000 - ₹3,00,000 a year","₹1,50,000 - ₹3,00,000 a year","Designation: Store Executive,store Officer,store Incharge ,store Assistant
urgently required fresher / experienced candidates
We have a urgent job opening for Store Department. Experience from only Automobile / Mechanical / Fabrication Industries.
Exp - 0 to15
Job location - Pune, Bhosari, Pimpri ,Chinchwad ,Chakan, Hinjewadi , Talegaon, etc.
Salary -Fresher 12500 & Experience candidate salary will depend on previous CTC
* Freshers & Experienced candidates both can apply *
(Kindly call only office time 9 a.m. to 5 p.m.) Weekly off : Sunday.
FIRST WALK-IN : Primary Discussion With Morya Services Bhosari, Pune.
8600734044
Job Type: Full-time
Salary: ₹150,000.00 to ₹300,000.00 /year
Experience:
Retail: 1 year (Preferred)
sales: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Language:
English (Preferred)",2020-06-09
Warehouse In-charge,"Pune, Maharashtra","₹25,000 a month","₹25,000 a month","Designation - Warehouse Incharge.
Exact Location - Haveli, Awhalwadi, Wagholi - Pune
Experience Required - 2 to 3 years in warehouse operations.
CTC Offer - 25,000/- per month. Net take home will be 20,000/- per month.
*WE PREFER LOCAL CANDIDATES. NOTE - THERE IS NO ACCOMMODATION OR TRAVEL FACILITY FOR CANDIDATES RELOCATING FROM OUTSIDE PUNE.
Key Responsibilities : -
End to end warehouse operations / floor operations.
Following SOPs.
Vendor / inventory / transportation management.
MIS / Data management (Software & excel)
Team Management
Job Type: Full-time
Pay: ₹25,000.00 per month
Experience:
Excel: 2 years (Required)
Warehouse Management: 2 years (Preferred)
Inventory Management: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Job Duties:
Load and unload trucks
Move and stack materials
Rotate floor stock
General housekeeping duties in the warehouse or production area and duties as assigned
Follow current good warehousing practice
Perform proper forklift inspections and follow forklift operating guidelines and procedures
Work Remotely:
Temporarily due to COVID-19",2020-06-09
Warehouse Assistant,"Pune, Maharashtra","₹21,000 - ₹21,500 a month","₹21,000 - ₹21,500 a month","Designation - Assistant Warehouse Incharge.
Exact Location - Haveli, Awhalwadi, Wagholi - Pune
Experience Required - 2 to 3 years in warehouse operations.
CTC Offer - 21,000/- per month. Net take home will be 17,000/- per month.
*WE PREFER LOCAL CANDIDATES. NOTE - THERE IS NO ACCOMMODATION OR TRAVEL FACILITY FOR CANDIDATES RELOCATING FROM OUTSIDE PUNE.
Key Responsibilities : -
End to end warehouse operations / floor operations.
Following SOPs.
Vendor / inventory / transportation management.
MIS / Data management (Software & excel)
Job Type: Full-time
Pay: ₹21,000.00 - ₹21,500.00 per month
Experience:
Excel: 1 year (Required)
Warehouse Management: 1 year (Required)
Education:
Higher Secondary(12th Pass) (Required)
Industry:
Logistic Support
Job Duties:
Load and unload trucks
Move and stack materials
General housekeeping duties in the warehouse or production area and duties as assigned
Follow current good warehousing practice
Use common warehouse management software
Perform proper forklift inspections and follow forklift operating guidelines and procedures
Work Remotely:
Yes",2020-06-09
IT Admin Assistant,"Pune, Maharashtra",,,"We are looking for an IT Admin with 0-1 year of experience to work from the client location. Freshers with Good academic records, fluent communication and intermediate level of programming knowledge and ability to learn new things
· Preparing and sorting documents for data entry
· Entering data into database software and checking to ensure the accuracy of the data that has been inputted
· Preparing and sorting documents for data entry
· Some level of programming is desired
Entering data into database software and checking to ensure the accuracy of the data that has been entered
· Creating data backups as part of a contingency plan, Compile, verify accuracy and sort information according to priorities to prepare source data for computer entry
· Review data for deficiencies or errors, correct any incompatibilities if possible and check output
· Apply data program techniques and procedures
· IT Admin Activities
Job Type: Full-time
Education:
Bachelor's (Required)",2020-06-09
Billing Executive,"Pune, Maharashtra","₹15,000 - ₹20,000 a month","₹15,000 - ₹20,000 a month","Inspection of PO.
Inspection of invoices and making purchase entry.
Preparation of invoices.
Preparation of e-way bill.
Preparation of invoices.
Generation of stock level during billing and report daily to senior
Co-ordination for stock match
Documentation of various important document
Preparation of credit & debit notes.
Regularly monitoring for stocks, non moving, near expiry stocks and expiry stocks and related activities with executive.
Generation of system/software for billing and other required software for smooth working dept.
Generating E way bill for transport related.
Monitor over dues issues for clients.
Co-Ordination with dispatch of bills
Job Type: Full-time
Salary: ₹15,000.00 to ₹20,000.00 /month
Experience:
total work: 3 years (Required)
Education:
Bachelor's (Required)
Location:
Pune, Maharashtra (Preferred)
Work Remotely:
No",2020-06-09
