Title,Location,Company,Salary,Description,Time
Front Desk Receptionist,"Pune, Maharashtra",,,"Require a Smart professional candidate to meet, greet and welcome members and guests at the reception and lobby of club Area 37. (www.area37.club)
The candidate will also be required to take new prospective members on a tour of the premises and showcase the facilities and amenities. Must be well spoken and should have good communication skills and good people skills.
Job Types: Full-time, Contract
Experience:
Front desk - Receptionist: 1 year (Preferred)
hospitality: 1 year (Preferred)
Duties:
Maintain files and records
Scheduling appointments
Administrative Duties:
Scheduling
Answering and routing phone calls
Managing social media
Greeting visitors
Work Remotely:
No",2020-06-09
Translator,"Pune, Maharashtra","₹8,000 - ₹10,000 a month","₹8,000 - ₹10,000 a month","Graduation/Post-Graduation Completed
Good Knowledge of English Language
Computer Skills (Ms-Word, Excel)
Job Types: Full-time, Walk-In
Salary: ₹8,000.00 to ₹10,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes",2020-06-06
Academic Sales Counselor,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","₹15,000 - ₹25,000 a month","- To give counselling to the students, suggest right course to the right candidate and parents while convincing them to take admission
- Converting walk-ins into enrolments
- Generate & manage enquiries & business through calling & taking follow ups on database received/collected through school/college activity/coaching activity/presentation/seminars/various advertisements etc.
- Follow up with students on phone, house calling, ensuring fresh walk-ins in the centre
- create database
- Should know & arrange different sources of data/consultants for business development
- Maintaining reports(daily, weekly, monthly, fee collection, projection, students records, service tax etc.)
- Manage & ensure timely fee collection from students every month
- To perform other administrative duties
- Communicating daily with management team, planning work schedules
- Checking staff & students requirements
- Coordinating with faculties to schedule batches
- Maintaining stock and keeping records of books issued to students
- Handling students grievances
- Attending management meetings/training’s
- Planning & implementing duties during exams
- Overseeing the upkeep of the centre
- Supervising staff & handling daily adhoc responsibilities
- Open for participation in education/job fairs
- Take ownership of the business and the centre
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 to ₹25,000.00 /month
Experience:
work: 3 years (Preferred)
total work: 3 years (Required)
Education:
Bachelor's (Preferred)
Language:
English (Required)
Work Remotely:
Temporarily due to COVID-19",2020-06-05
Know Your Client (KYC) Operato,"Pune, Maharashtra",,,"Job Title: Analyst/Sr Analyst
Location: Pune, India
Position Description

In accordance with Anti-Money Laundering Requirements, Banks, such as Deutsche Bank AG (""DB""), are obliged to perform Know-your-client (“KYC”) reviews on all new clients they adopt. These checks and reviews are made in strict accordance with regulatory requirement and the bank’s internal policies.
The project involves verification of the Client data, performing due diligence checks on the Clients, reviewing KYC documentation performing the risk assessment of the Client, liaising with the Business/Compliance, advising on KYC requirements and signing off on new client adoptions.
What we’ll offer you
As part of our flexible scheme, here are just some of the benefits that you’ll enjoy
Best in class leave policy
Gender neutral parental leaves
100% reimbursement under child care assistance benefit (gender neutral)
Flexible working arrangements
Sponsorship for Industry relevant certifications and education
Employee Assistance Program for you and your family members
Comprehensive Hospitalization Insurance for you and your dependents
Accident and Term life Insurance
Complementary Health screening for 35 yrs. and above
Your key responsibilities
Responsible for verification of Client data
Perform due diligence of new and existing clients covering a wide range of different client types including; Listed and Regulated, small/medium/ large private and public companies as well as more complex structures such as; SPVs, Co-operatives, Foundations and Funds, Governments, Joint Ventures, etc.
Verifying KYC documentation of the Clients to be adopted/reviewed
Perform the risk assessment of the Client to be adopted/reviewed
Signing off on new client adoptions and periodic reviews
Manage New Client Adoption or Periodic Review stream, to ensure that all requests are approved in accordance with regulatory requirements and the bank’s internal policies
Manage exception ensuring that all SLA’s defined with the Business on timeliness and quality are adhered
Your skills and experience
1 to 2 years of relevant work experience (AML/KYC/compliance related) within corporate financial services industry, Research/Analytics role in other Banks / KPOs etc
Understanding of Control, Compliance, Investigation/chasing functions in banks
Familiarity AML/KYC regulations and industry guidelines (FSA, JMLSG, 3rd EU Money Laundering Directive, MiFID)
Ability to interpret regulatory guidelines and assessing risk scores and entity types
Ability to interpreting alerts
Ability to identifying trends and inconsistencies
Understanding of end to end KYC process
Experience/Exposure
Graduates with good academic records
Exposure to draft procedures based on policies formulated by the Bank's AML Compliance departments.
Relevant KYC experience in any Financial Sector for 1-2 years
German Language experience and proficiency level -B2.2 above
How we’ll support you
Training and development to help you excel in your career
Flexible working to assist you balance your personal priorities
Coaching and support from experts in your team
A culture of continuous learning to aid progression
A range of flexible benefits that you can tailor to suit your needs
About us and our teams
Please visit our company website for further information:
https://www.db.com/company/company.htm
Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.
We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.",2020-06-09
Maths & Science Higher Secondary Teacher,"Pune, Maharashtra","₹20,000 - ₹35,000 a month","₹20,000 - ₹35,000 a month","Dear Teachers,
Warm greetings from J.N.Petit Technical High School.
We have a requirement for Smart, Committed, Passionate,Energetic & Enthusiastic Math & Science Higher Secondary Teachers.
About the School: - J.N.Petit School is one of the oldest school in Pune,Maharashtra,India. The school was founded in Mumbai by Nusserwanjee Petit in 1888 in the memory of his son who died in the age of 32. It was shifted to Pune in 1948.
Job Description: -
1. Plan lessons and instruct students.
2. Assess students’ abilities, strengths, and weaknesses. Grade students’ assignments and exams.
3. Adapt lessons to changes in class size. Communicate with parents about students’ progress.
4. Work with individual students to challenge them and to improve their abilities.
5. Prepare students for standardized tests required by the state.
6. Develop and enforce classroom rules and administrative policies.
7. Supervise students outside of the classroom—for example, during lunchtime or detention.
8. Conduct online classes as & when required.
Work location: - 28 Bund Garden Road, Pune, Maharashtra, 411001. India.
Qualification: - BEd with work experience of more than 5 years, Excellent Computer knowledge, should be able to teach online & Excellent Communication skills in English.
Job Types: Full-time, Walk-In
Pay: ₹20,000.00 - ₹35,000.00 per month
COVID-19 considerations:
We conduct our interviews & selection procedures online.
Experience:
5 Years: 3 years (Required)
work: 5 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19",2020-06-03
Officer - Planning & Logistics,"Pune, Maharashtra",,,"Job Location: Pune
.
Ferrero is a family-owned company with a truly progressive and global outlook and iconic brands such as Nutella®, Tic Tac®, Ferrero Rocher®, Raffaello®, Kinder Bueno® and Kinder Surprise®. As the love for our brands continues to grow, so too does our global reach. Represented in 55 countries, with products sold in more than 170, the Ferrero Group is loved by generations around the world. The secret to our global success? Nearly 35,000 dedicated employees who celebrate care and quality to craft a business, careers and brands we are proud of. Join us, and you could be one of them.
About the Role:
As a Planning & Logistic Executive, the resource will be supporting KPS Operations Polo.
Especially, the scope of the role is to transversally support the Planning & Logistic team in daily tasks, as managing repots, analysis, data planning and back office activities
Main Responsibilities:
PLANNING
Creation and analysis of monthly KPI and Reports based on delivery schedule
Definition of key metrics to measure and improve suppliers’ performance
Collaborate with the team in terms of collecting delivery Schedule data from suppliers
Update consolidation file about dispatches in order to produce a big picture of India Polo planning
LOGISTIC
Supporting team in mold management: import, shifting between Indian suppliers and Ferrero WH
Cooperation in finalization of documentation related to Toys imports, invoices checks and shipments
Coordination and collaboration in new production toys and sample dispatches
SAP System
Sharing the accountability of the integrity of supply planning data within SAP APO
Cooperation in management of Invoice and Purchase orders
Who we are looking for:
Technical Graduation with 2-4 years of work experience
How to be successful in the role and at Ferrero:
Consumers, quality and care are at the heart of everything we do. So, to be successful at Ferrero, you’ll need to be just as consumer and product centric as we are - dedicated to crafting brilliant results for consumers around the world.",2020-06-08
Computer Operator,"Pune, Maharashtra","₹12,500 - ₹21,000 a month","₹12,500 - ₹21,000 a month","Data Entry Operator & Computer Operator.
Salary : - 10K-18K + Incentives.
Candidate Must Have Good Typing Speed.
Good Comm. Skills Required.
Responsibilities & Duties :
Preparing and sorting documents for data entry.
Entering data into database software and checking to ensure the accuracy of the data that has been inputted.
Resolving discrepancies in information and obtaining further information for incomplete documents.
To Fix Your Appointments & More Details,
Leave Your Message Here, Our Executive Will Contact You Soon.
Job Types: Full-time, Fresher
Salary: ₹12,500.00 to ₹21,000.00 /month
Education:
Higher Secondary(12th Pass) (Preferred)
Language:
English (Preferred)
English & Hindi (Preferred)
Required Documents:
Address Proof (Preferred)
Benefits:
Health insurance
Provident fund (PF)
Paid leaves / Leave encashment
Company Cab / Shuttle service
Work from home
Flexible work hours
Selection rounds:
HR Interview
Industry:
Customer Service",2020-06-07
Accounts Executive,"Pune, Maharashtra","₹15,000 - ₹20,000 a month","₹15,000 - ₹20,000 a month","We are a International Courier & Cargo Company having our corporate office in Pune, Maharashtra since last 17 Years.
We are looking for Smart, Energetic Accounts Officer with all round experience with Corporate accounting, Taxation & having sound knowledge of company act. Also should be familiar with tally ERP. Salary is no bar for the right candidate.
We are also looking for accounts executive with 2-5 Years of experience in corporate accounting. Should be smart & energetic, familiar with Tally ERP.
Freshers can also apply for the accounts executive with similar skills.
Interested Candidates Can Walk-In Interview at:
Unique Air Express,
370, Murlidhar Apartment, Paper Lane,
Shaniwar Peth, Pune 411030
Near Ahilyadevi High school
Call 02067200252
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 to ₹20,000.00 /month
Experience:
Taxation: 1 year (Preferred)
total work: 1 year (Preferred)
accounting: 2 years (Preferred)
Industry:
Logistic Support
Job Duties:
Manage multiple accounts, ensuring that a high level of customer retention and satisfaction is maintained
Record changes to customer accounts, updating service packages, adding accounts, and removing accounts as needed
Work Remotely:
No",2020-06-07
Customer Support Executive,"Pune, Maharashtra","₹15,000 - ₹30,000 a month","₹15,000 - ₹30,000 a month","We are looking for a qualified Customer Support Executive to manage a team of representatives who will offer excellent customer service and after-sales support.
We are an organization working from last 18 years all over India.
Responsibilities:
Managing a group of representatives offering customer support.
Supervising the customer service process.
Resolving customer problems brought to your attention.
Creating policies and procedures.
Planning the training and standardization of service delivery.
Selecting and hiring new staff.
Job Types: Full-time, Part-time
Salary: ₹15,000.00 to ₹30,000.00 /month
Education:
Higher Secondary(12th Pass) (Preferred)
Language:
Hindi, Marathi (Required)
Customer issues handled:
Billing
Training provided:
Yes - Training provided
Work Remotely:
Yes",2020-06-08
Receptionist/Administration Assistant,"Kothrud, Pune, Maharashtra","₹5,000 - ₹15,000 a month","₹5,000 - ₹15,000 a month","Job Summary
Looking for good Receptionist for all daily front office work.
Responsibilities and Duties
Handling incoming calls and other communications.
Managing filing system.
Recording information as needed.
Greeting clients and visitors as needed.
Updating paperwork, maintaining documents and word processing.
Helping organize and maintain office common areas.
Performing general office clerk duties and errands.
Organizing travel by booking accommodations and reservations needs as required.
Coordinating events as necessary.
Maintaining supply inventory.
Maintaining office equipment as needed.
Aiding with client reception as needed.
Experience as a virtual assistant.
Creating, maintaining, and entering information into databases.
Key Skills
Word Processing , , Front Desk, Communications
Required Experience and Qualifications
High school diploma or associate’s degree.
Experience as an office assistant or in related field.
Ability to write clearly and help with word processing when necessary.
Warm personality with strong communication skills.
Ability to work well under limited supervision.
Great communication skills.
Have a valid driver license.
Job Type: Full-time
Salary: ₹5,000.00 to ₹15,000.00 /month
Job Type: Full-time
Salary: ₹5,000.00 to ₹15,000.00 /month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
receptionist: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Kothrud, Pune, Maharashtra (Preferred)
Benefits:
Other
Industry:
IT Operations & Helpdesk
Work Remotely:
Temporarily due to COVID-19",2020-06-07
