Title,Location,Company,Salary,Description,Time
Online Python Trainer (Female candidates only),"Pune, Maharashtra","₹30,000 - ₹50,000 a month","₹30,000 - ₹50,000 a month",,2020-05-30
Social Media Executive,"Pune, Maharashtra",,,,2020-06-05
Customer Care Executive(Telecaller),"Pune, Maharashtra","₹10,000 - ₹15,000 a month","₹10,000 - ₹15,000 a month",,2020-06-08
Data Entry Operator,"Pune, Maharashtra",₹400 - ₹600 a day,₹400 - ₹600 a day,,2020-06-09
Store Incharge,"Pune, Maharashtra","₹18,000 - ₹25,000 a month","₹18,000 - ₹25,000 a month",,2020-06-02
Summer Internship Program,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","₹15,000 - ₹25,000 a month",,2020-06-07
Office Assistant,"Pune, Maharashtra","₹12,000 a month","₹12,000 a month",,2020-06-09
Translator,"Pune, Maharashtra","₹8,000 - ₹10,000 a month","₹8,000 - ₹10,000 a month",,2020-06-06
Know Your Client (KYC) Operato,"Pune, Maharashtra",,,,2020-06-09
Academic Sales Counselor,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","₹15,000 - ₹25,000 a month",,2020-06-05
Receptionist/Administration Assistant,"Kothrud, Pune, Maharashtra","₹5,000 - ₹15,000 a month","₹5,000 - ₹15,000 a month",,2020-06-07
Medical Transcriptionist,"Pune, Maharashtra",,,,2020-06-03
Fashion designer,"Pune, Maharashtra",,,,2020-04-04
Personal Assistant,"Pune, Maharashtra","₹1,20,000 - ₹1,80,000 a year","₹1,20,000 - ₹1,80,000 a year",,2020-06-07
Online Tutor - Women Candidates Only,"Pune, Maharashtra","₹30,000 - ₹50,000 a month","₹30,000 - ₹50,000 a month",,2020-05-02
